query_id|device_classification_name|approval_number|device_name|applicant_name|applicant_contact|correspondent_name|regulation_number|classification_product_code|month_received|day_received|year_received|month_day|day_month|decision_year|decision|regulation_medical_specialty|review_panel|summary_link |type|reviewed_by_third_party|combination_product|0
K221564|computer-assisted diagnostic software for lesions suspicious for cancer|k221564|brainomix 360 e-aspects|gwilym  owen|gwilym  owen|gwilym  owen|892.206|pok|5|31|2022|2|23|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221564.pdf|traditional|no|no|13
K221309|device, automated cell-locating|k221309|ai100 with shonit|tathagato  rai dastidar|tathagato  rai dastidar|jinjie  hu|864.526|joy|5|5|2022|9|19|2023|substantially equivalent     (sese)|hematology|hematology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221309.pdf|traditional|no|no|14
K192320|radiological computer-assisted prioritization software for lesions|k192320|healthcxr|flair  bar|flair  bar|flair  bar|892.208|qfm|8|26|2019|11|26|2019|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf19/k192320.pdf|traditional|no|no|15
K213275|automated radiological image processing software|k213275|echogo core (2.0)|jaco  jacobs|jaco  jacobs|jaco  jacobs|892.205|qih|9|30|2021|12|20|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213275.pdf|traditional|no|no|16
K202847|system, image processing, radiological|k202847|accubrain|junbing  huang|junbing  huang|you  yijie|892.205|llz|9|25|2020|1|15|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k202847.pdf|traditional|no|no|17
K201060|computer, diagnostic, programmable|k201060|cordiana dx16|johan  sandberg|johan  sandberg|johan  sandberg|870.1425|dqk|4|21|2020|11|16|2020|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k201060.pdf|traditional|no|no|18
K214036|automated radiological image processing software|k214036|aview|hyeyi  park|hyeyi  park|hye yi  park|892.205|qih|12|23|2021|12|23|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k214036.pdf|traditional|no|no|19
K200921|radiological computer-assisted triage and notification software|k200921|qer|pooja  rao|pooja  rao|pooja  rao|892.208|qas|4|6|2020|6|17|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k200921.pdf|traditional|no|no|20
K222579|ventilatory effort recorder|k222579|belun sleep system bls-100|leung lap  wai lydia|leung lap  wai lydia|leung lap  wai lydia|868.2375|mnr|8|25|2022|2|23|2023|substantially equivalent     (sese)|anesthesiology|anesthesiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k222579.pdf|traditional|no|no|21
K230772|system, image processing, radiological|k230772|quantib prostate|floor van leeuwen|floor van leeuwen|floor van leeuwen|892.205|llz|3|21|2023|4|17|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k230772.pdf|special|no|no|22
K214019|system, x-ray, tomography, computed|k214019|syngo.ct extended functionality|alaine  medio|alaine  medio|alaine  medio|892.175|jak|12|22|2021|1|20|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k214019.pdf|special|no|no|23
K213319|radiological computer-assisted prioritization software for lesions|k213319|viz aneurysm, viz anx|gregory  ramina|gregory  ramina|gregory  ramina|892.208|qfm|10|4|2021|2|18|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213319.pdf|traditional|no|no|24
K183489|system, image processing, radiological|k183489|d2p|kim  torluemke|kim  torluemke|kim  torluemke|892.205|llz|12|17|2018|8|29|2019|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k183489.pdf|traditional|no|no|25
K223287|system, imaging, pulsed echo, ultrasonic|k223287|velacur|barry  allen|barry  allen|rhona  shanker|892.156|iyo|10|25|2022|4|20|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223287.pdf|traditional|no|no|26
K200743|system, imaging, pulsed doppler, ultrasonic|k200743|vivid e80| vivid e90| vivid e95|tracey  ortiz|892.155|iyn|3|23|2020|7|23|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k200743.pdf|traditional|no|no|27
K230552|system, image processing, radiological|k230552|mr dwi|flair measurement v1.0|nathalie  palumbo|nathalie  palumbo, john j smith|892.205|llz|2|28|2023|4|26|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k230552.pdf|traditional|no|no|28
K172224|system, image processing, radiological|k172224|dtx studio diagnose|charlemagne  chua|charlemagne  chua|charlemagne  chua|892.205|llz|7|25|2017|1|11|2018|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf17/k172224.pdf|traditional|no|no|29
K223325|system, tomography, computed, emission|k223325|umi panorama|xin  gao|xin  gao|xin  gao|892.12|kps|10|31|2022|3|10|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223325.pdf|traditional|no|no|30
K213357|transmitters and receivers, electrocardiograph, telephone|k213357|study watch with irregular pulse monitor (home), study watch with irregular pulse monitor|dinesh  puppala|dinesh  puppala|dinesh  puppala|870.292|dxh|10|12|2021|7|19|2022|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213357.pdf|traditional|no|no|31
K201670|system, x-ray, stationary|k201670|ysio x.pree|andrew  turner|andrew  turner|andrew  turner|892.168|kpr|6|19|2020|10|21|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k201670.pdf|traditional|no|no|32
K213731|system, tomography, computed, emission|k213731|efai cardiosuite spect myocardial perfusion agile workflows|cheng  ming-fong|cheng  ming-fong|cheng  ming-fong|892.12|kps|11|26|2021|5|31|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213731.pdf|traditional|no|no|33
K221921|analyzer, medical image|k221921|dtx studio clinic 3.0|wim  vrydag|wim  vrydag|wim  vrydag|892.207|myn|7|1|2022|3|28|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221921.pdf|traditional|no|no|34
K171532|abutment, implant, dental, endosseous|k171532|trubase s|brandon  kim|brandon  kim|april  lee|872.363|nha|5|25|2017|9|11|2018|substantially equivalent     (sese)|dental|dental|https:/www.accessdata.fda.gov/cdrh_docs/pdf17/k171532.pdf|traditional|no|no|35
K223646|automated radiological image processing software|k223646|ib lab lama|richard  ljuhar|richard  ljuhar|richard  ljuhar|892.205|qih|12|6|2022|6|16|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223646.pdf|traditional|no|no|36
K220141|system, planning, radiation therapy treatment|k220141|raystation 11b|david  hedfors|david  hedfors|david  hedfors|892.505|muj|1|18|2022|4|15|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k220141.pdf|traditional|no|no|37
K173636|system, image processing, radiological|k173636|velocity|peter j. coronado|peter j. coronado|peter j. coronado|892.205|llz|11|24|2017|2|15|2018|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf17/k173636.pdf|traditional|no|no|38
K213353|analyzer, medical image|k213353|aorta-cad|robert  lindsey|robert  lindsey|robert  lindsey|892.207|myn|10|8|2021|9|20|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213353.pdf|traditional|no|no|39
K181502|computer, diagnostic, programmable|k181502|zio at ecg monitoring system, zeus system|rich  laguna|rich  laguna|rich  laguna|870.1425|dqk|6|7|2018|8|29|2018|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k181502.pdf|traditional|no|no|40
K183268|system, x-ray, tomography, computed|k183268|ai-rad companion (cardiovascular)|kimberly  rendon|kimberly  rendon|kimberly  rendon|892.175|jak|11|23|2018|9|10|2019|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k183268.pdf|traditional|no|no|41
K190593|computer, diagnostic, programmable|k190593|zio xt ecg monitoring system, zio at ecg monitoring system|gabrielle  logan|gabrielle  logan|gabrielle  logan|870.1425|dqk|3|7|2019|8|23|2019|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf19/k190593.pdf|traditional|no|no|42
K230140|cabinet, x-ray system|k230140|trueview core 100pro-us core specimen radiography system (trueview core 100pro-us)|xueqiao  wang|xueqiao  wang|xueqiao  wang|892.168|mwp|1|18|2023|4|24|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k230140.pdf|traditional|no|yes|43
K191278|system, image processing, radiological|k191278|rsi-mri+|stephen  kosnosky|stephen  kosnosky|stephen  kosnosky|892.205|llz|5|13|2019|11|19|2019|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf19/k191278.pdf|traditional|no|no|44
K192901|radiological computer-assisted prioritization software for lesions|k192901|healthvcf|flair  bar|flair  bar|flair  bar|892.208|qfm|10|15|2019|5|12|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf19/k192901.pdf|traditional|no|no|45
K212516|photoplethysmograph analysis software for over-the-counter use|k212516|irnf app|dachan  kwon|dachan  kwon|luke  olson|870.279|qdb|8|10|2021|10|22|2021|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k212516.pdf|traditional|no|no|46
K221727|system, x-ray, tomography, computed|k221727|syngo.ct extended functionality|monsuru  bello|monsuru  bello|monsuru  bello|892.175|jak|6|14|2022|7|13|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221727.pdf|special|no|no|47
K223623|system, image processing, radiological|k223623|subtlemr (2.3.x)|ajit  shankaranarayanan|ajit  shankaranarayanan|jared  seehafer|892.205|llz|12|5|2022|5|11|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223623.pdf|traditional|no|no|48
K230112|system, x-ray, tomography, computed|k230112|cac software|kay  sisavath|kay  sisavath|lauren  keith|892.175|jak|1|17|2023|6|13|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k230112.pdf|traditional|no|no|49
K221868|radiological computer-assisted prioritization software for lesions|k221868|qoca image smart cxr image processing system|joe  wang|joe  wang|joe  wang|892.208|qfm|6|27|2022|1|27|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221868.pdf|traditional|no|no|50
K200621|automated radiological image processing software|k200621|caption interpretation automated ejection fraction software|sam  surette|sam  surette|sam  surette|892.205|qih|3|9|2020|7|22|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k200621.pdf|traditional|no|no|51
K201411|automated radiological image processing software|k201411|visage breast density|stefan  strowich|stefan  strowich|juliane  dinter|892.205|qih|5|28|2020|1|29|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k201411.pdf|traditional|no|no|52
K180161|system, image processing, radiological|k180161|viz ctp|gregory  ramina|gregory  ramina|gregory  ramina|892.205|llz|1|19|2018|4|20|2018|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k180161.pdf|traditional|no|no|53
K211156|system, image processing, radiological|k211156|convivo in vivo pathology suite|juergen  berger|juergen  berger|maria  golovina|892.205|llz|4|19|2021|12|29|2021|substantially equivalent     (sese)|radiology|neurology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k211156.pdf|traditional|no|no|54
K223288|neurological stereotaxic instrument|k223288|cranial navigation, navigation software cranial, navigation software craniofacial, cranial em system, automatic registration imri|esther  moreno garcia|esther  moreno garcia|esther  moreno garcia|882.456|haw|10|25|2022|7|21|2023|substantially equivalent     (sese)|neurology|neurology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223288.pdf|traditional|no|no|55
K202229|system, image processing, radiological|k202229|ai metrics|andrew d. smith|andrew d. smith|yujan  shrestha|892.205|llz|8|7|2020|12|22|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k202229.pdf|traditional|no|no|56
K203502|automated radiological image processing software|k203502|medo-thyroid|dornoosh  zonoobi|dornoosh  zonoobi|dornoosh  zonoobi|892.205|qih|11|30|2020|4|23|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k203502.pdf|traditional|no|no|57
K191171|automated radiological image processing software|k191171|echogo core|melissa  clark|melissa  clark|melissa  clark|892.205|qih|5|1|2019|11|13|2019|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf19/k191171.pdf|traditional|no|no|58
K212333|system, imaging, pulsed doppler, ultrasonic|k212333|aplio i900/i800/i700 diagnostic ultrasound system, software v6.5|paul  biggins|paul  biggins|yoshiaki  cook|892.155|iyn|7|27|2021|1|24|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k212333.pdf|traditional|no|no|59
K221393|system, nuclear magnetic resonance imaging|k221393|swoop portable mr imaging system|christine  kupchick|christine  kupchick|christine  kupchick|892.1|lnh|5|13|2022|6|10|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221393.pdf|special|no|no|60
K212012|automated radiological image processing software|k212012|follicle clarity|john  schnorr|john  schnorr|john  schnorr|892.205|qih|6|28|2021|1|19|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k212012.pdf|traditional|no|no|61
K230812|electrocardiograph|k230812|withings scan monitor 2.0|khushboo  surendran|khushboo  surendran|khushboo  surendran|870.234|dps|3|24|2023|8|23|2023|substantially equivalent     (sese)|cardiovascular|cardiovascular|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k230812.pdf|traditional|no|no|62
K201444|system, planning, radiation therapy treatment|k201444|syngo.via rt image suite|cynthia  busch|cynthia  busch|cynthia  busch|892.505|muj|6|1|2020|8|13|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k201444.pdf|traditional|no|no|63
K223424|system, x-ray, tomography, computed|k223424|spine auto views|yonghui  han|yonghui  han|yonghui  han|892.175|jak|11|14|2022|7|13|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223424.pdf|traditional|no|no|64
K211059|system, image processing, radiological|k211059|cereflow v1.2|zhihai ricky xiang|zhihai ricky xiang|andrew  wu|892.205|llz|4|9|2021|3|31|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k211059.pdf|traditional|no|no|65
K193087|radiological computer-assisted triage and notification software|k193087|rapid ich|james  rosa|james  rosa|james  rosa|892.208|qas|11|6|2019|3|31|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf19/k193087.pdf|traditional|no|no|66
K222676|automated radiological image processing software|k222676|ceevra reveal 3|ken  koster|ken  koster|ken  koster|892.205|qih|9|6|2022|4|25|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k222676.pdf|traditional|no|no|67
K180343|semen analysis device|k180343|lenshooke x1 pro semen quality analyzer, lenshooke x1 semen quality analyzer|clare  huang|clare  huang|feng-yu  lee|864.522|pov|2|7|2018|11|16|2018|substantially equivalent     (sese)|hematology|hematology|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k180343.pdf|traditional|no|no|68
K203182|system, image processing, radiological|k203182|subtlemr|ajit  shankaranarayanan|ajit  shankaranarayanan|jared  seehafer|892.205|llz|10|27|2020|2|26|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k203182.pdf|traditional|no|no|69
K183648|microbial colony image assessment system|k183648|apas independence with urine analysis module|julie  winson|julie  winson|julie  winson|866.219|ppu|12|26|2018|5|15|2019|substantially equivalent     (sese)|microbiology|microbiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k183648.pdf|traditional|no|no|70
K180539|software for diagnosis, treatment|k180539|deformity analysis and correction software (dacs) and instrumentation|thomas j. twardzik|thomas j. twardzik|thomas j. twardzik|888.303|osn|2|28|2018|8|13|2018|substantially equivalent     (sese)|orthopedic|orthopedic|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k180539.pdf|traditional|no|no|71
K212067|system, x-ray, tomography, computed|k212067|deep learning image reconstruction|katelyn  rowley|katelyn  rowley|katelyn  rowley|892.175|jak|7|2|2021|9|17|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k212067.pdf|traditional|no|no|72
K221772|transducer, tremor|k221772|neurorpm|chan  lee|chan  lee|chan  lee|882.195|gyd|6|21|2022|3|17|2023|substantially equivalent     (sese)|neurology|neurology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221772.pdf|traditional|no|no|73
K180651|system, x-ray, fluoroscopic, image-intensified|k180651|uroview fd ii|christian  stoian|christian  stoian|oliver  eikenberg|892.165|jaa|3|13|2018|4|12|2018|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k180651.pdf|traditional|no|no|74
K223357|diabetic retinopathy detection device|k223357|eyeart v2.2.0|kaushal  solanki|kaushal  solanki|kaushal  solanki|886.11|pib|11|2|2022|6|16|2023|substantially equivalent     (sese)|ophthalmic|ophthalmic|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223357.pdf|traditional|no|no|75
K193290|system, image processing, radiological|k193290|ai-rad companion brain mr|lauren  bentley|lauren  bentley|lauren  bentley|892.205|llz|11|27|2019|6|17|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf19/k193290.pdf|traditional|no|no|76
K230337|pediatric autism spectrum disorder diagnosis aid|k230337|earlipoint|ryan  bormann|ryan  bormann|sew-wah  tay|882.1491|qpf|2|7|2023|6|29|2023|substantially equivalent     (sese)|neurology|neurology|https:/www.accessdata.fda.gov/cdrh_docs/pdf23/k230337.pdf|traditional|no|no|77
K183046|system, x-ray, tomography, computed|k183046|aquilion one (tsx-305a|6) v8.9 with aice|paul  biggins|paul  biggins, orlando  tadeo, jr. |892.175|jak|11|2|2018|6|12|2019|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf18/k183046.pdf|traditional|no|no|78
K221179|automatic event detection software for polysomnograph with electroencephalograph|k221179|somnometry|paul  chen|paul  chen|paul  chen|882.14|olz|4|25|2022|9|21|2022|substantially equivalent     (sese)|neurology|neurology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221179.pdf|traditional|no|no|79
K202501|system, image processing, radiological|k202501|quantib prostate|floor van leeuwen|floor van leeuwen|floor van leeuwen|892.205|llz|8|31|2020|10|11|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k202501.pdf|traditional|no|no|80
K210999|system, image processing, radiological|k210999|swiftmr|jihyeon  seo|jihyeon  seo|jihyeon  seo|892.205|llz|4|2|2021|10|14|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k210999.pdf|traditional|no|no|81
K220813|radiological image processing software for radiation therapy|k220813|art-plan|edwin  lindsay|edwin  lindsay|edwin  lindsay|892.205|qkb|3|21|2022|6|17|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k220813.pdf|traditional|no|no|82
K223347|image acquisition and optimization guided by artificial intelligence|k223347|ultrasight ai guidance|davidi  vortman|davidi  vortman|davidi  vortman, janice m. hogan|892.21|qju|11|1|2022|7|24|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k223347.pdf|traditional|no|no|83
K220940|automated radiological image processing software|k220940|echopac software only, echopac plug-in|tracey  ortiz|tracey  ortiz|lee  bush|892.205|qih|3|31|2022|7|22|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k220940.pdf|traditional|no|no|84
K213737|system, image processing, radiological|k213737|quantib nd|floor  van leeuwen|floor  van leeuwen|floor  van leeuwen|892.205|llz|11|29|2021|1|14|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213737.pdf|special|no|no|85
K210760|system, x-ray, tomography, computed|k210760|precise image|michael  chilbert|michael  chilbert|michael  chilbert|892.175|jak|3|15|2021|1|14|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k210760.pdf|traditional|no|no|86
K221592|lung computed tomography system, computer-aided detection|k221592|aview lung nodule cad|hyeyi  park|hyeyi  park|hyeyi  park|892.205|oeb|6|2|2022|2|24|2023|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221592.pdf|traditional|no|no|87
K201020|radiological computer-assisted triage and notification software|k201020|briefcase|nimrod  epstein|nimrod  epstein|john j. smith|892.208|qas|4|17|2020|8|26|2020|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf20/k201020.pdf|traditional|no|no|88
K221624|computer-assisted diagnostic software for lesions suspicious for cancer|k221624|avenda health ai prostate cancer planning software|brittany  berry-pusey|brittany  berry-pusey|brittany  berry-pusey|892.206|pok|6|6|2022|11|22|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k221624.pdf|traditional|no|no|89
K220439|radiological computer-assisted triage and notification software|k220439|viz sdh|vi  ma|vi  ma|vi  ma|892.208|qas|2|16|2022|7|25|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf22/k220439.pdf|traditional|no|no|90
K210438|system, imaging, pulsed doppler, ultrasonic|k210438|versana premier|tracey  ortiz|tracey  ortiz|tracey  ortiz|892.155|iyn|2|12|2021|9|10|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k210438.pdf|traditional|no|no|91
K210666|analyzer, medical image|k210666|chest-cad|robert  lindsey|robert  lindsey|robert  lindsey|892.207|myn|3|5|2021|7|20|2021|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k210666.pdf|traditional|no|no|92
K213583|system, nuclear magnetic resonance imaging|k213583|achieva, ingenia, ingenia cx, ingenia elition and ingenia ambition mr systems|jan van de kerkhof|jan van de kerkhof|susan  quick|892.1|lnh|11|12|2021|5|16|2022|substantially equivalent     (sese)|radiology|radiology|https:/www.accessdata.fda.gov/cdrh_docs/pdf21/k213583.pdf|abbreviated|no|no|93
