,query_id,device_classification_name,approval_number,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product
24,K202697,"mask, surgical",k202697,"united sewing high fluid resistant disposable face mask, united sewing high fluid resistant surgical mask, united sewing high fluid resistant procedure mask",benjamin  webb,benjamin  webb,heather  hatcher,878.4040,fxx,09/16/2020,05/13/2021,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202697.pdf,abbreviated,no,no
25,K213527,"system, image management, ophthalmic",k213527,forum,stefan  wimmer,stefan  wimmer,maria  golovina,892.2050,nfj,11/04/2021,08/15/2022,substantially equivalent     (sese),radiology,ophthalmic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213527.pdf,traditional,no,no
26,K180531,"suture, nonabsorbable, synthetic, polyethylene",k180531,novostitch pro meniscal repair system,tarhan  kayihan,tarhan  kayihan,debra  cogan,878.5000,gat,02/28/2018,03/29/2018,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180531.pdf,special,no,no
27,K190995,"system, imaging, pulsed doppler, ultrasonic",k190995,exactvu high resolution micro-ultrasound system,randy  aucoin,randy  aucoin,mark  job,892.1550,iyn,04/16/2019,05/10/2019,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190995.pdf,special,yes,no
28,K221004,"laparoscope, general & plastic surgery",k221004,hopkins telescopes,alita  mcelroy,alita  mcelroy,alita  mcelroy,876.1500,gcj,04/05/2022,12/20/2022,substantially equivalent     (sese),gastroenterology/urology,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221004.pdf,traditional,no,no
29,K231363,"saline, vascular access flush",k231363,"hantech pre-filled 0.9% normal saline flush syringes (models pfs-1003, pfs-1005, pfs-1010)",arnold  yang,arnold  yang,arnold  yang,880.5200,ngt,05/11/2023,09/27/2023,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k231363.pdf,traditional,no,no
30,K180950,"oxygenator, cardiopulmonary bypass",k180950,"terumo capiox nx19 oxygenator with reservoir (east orientation), terumo capiox nx19 oxygenator with reservoir (west orientation), terumo capiox nx19 oxygenator (east orientation), terumo capiox nx19 oxygenator (west orientation)",adam  pickholtz,adam  pickholtz,adam  pickholtz,870.4350,dtz,04/11/2018,06/22/2018,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180950.pdf,traditional,no,no
31,K193372,"shoulder prosthesis, reverse configuration",k193372,univers revers modular glenoid system (augemented baseplates),ivette  galmez,ivette  galmez,ivette  galmez,888.3660,phx,12/05/2019,01/10/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k193372.pdf,special,no,no
32,K220433,"system, image processing, radiological",k220433,syngo application software (ve21),patricia d. jones,patricia d. jones,patricia d. jones,892.2050,llz,02/15/2022,08/16/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220433.pdf,traditional,no,no
33,K173876,"activator, ultraviolet, for polymerization",k173876,cybird led curing light,seung hyun  kim,seung hyun  kim,dave  kim,872.6070,ebz,12/21/2017,01/24/2018,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173876.pdf,special,no,no
34,K202042,reprocessed intravascular ultrasound catheter,k202042,reprocessed viewflex xtra ice diagnostic ultrasound catheter,rick  ferreira,rick  ferreira,amanda  babcock,870.1200,owq,07/23/2020,11/20/2020,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202042.pdf,special,no,no
35,K220315,"wax, bone",k220315,"montage-xt settable, resorbable hemostatic bone putty",aniq  darr,aniq  darr,howard  schrayer,,mtj,02/03/2022,03/11/2022,substantially equivalent     (sese),,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220315.pdf,traditional,no,no
36,K192978,"sterilizer, ethylene-oxide gas",k192978,eogas 4 ethylene oxide gas sterilizer,william k. andersen,william k. andersen,william k. andersen,880.6860,flf,10/24/2019,11/12/2020,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192978.pdf,traditional,no,no
37,K210831,automated radiological image processing software,k210831,onq neuro,kora  marinkovic,kora  marinkovic,kora  marinkovic,892.2050,qih,03/19/2021,11/19/2021,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210831.pdf,traditional,no,no
38,K192800,thoracolumbosacral pedicle screw system,k192800,streamline tl spinal fixation system,kurtis  hunsberger,kurtis  hunsberger,justin  eggleton,888.3070,nkb,09/30/2019,01/14/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192800.pdf,traditional,no,no
39,K210414,"gown, isolation, surgical",k210414,coveru disposable gown with tape aami level 4 isolation gown coveru disposable gown with tape - chemo gown,william  yang,william  yang,sandy  liu,878.4040,fyc,02/11/2021,10/21/2022,substantially equivalent     (sese),general & plastic surgery,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210414.pdf,traditional,no,no
40,K181754,"tubes, vials, systems, serum separators, blood collection",k181754,blood collection accessory (buca),hc  tan,hc  tan,hc  tan,862.1675,jka,07/02/2018,07/30/2019,substantially equivalent     (sese),clinical chemistry,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181754.pdf,traditional,no,no
41,K203535,interventional fluoroscopic x-ray system,k203535,trinias,shigeru  naganishi,shigeru  naganishi,daniel  kamm,892.1650,owb,12/03/2020,04/28/2021,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k203535.pdf,traditional,no,no
42,K192496,"system, nuclear magnetic resonance imaging",k192496,"magnetom sola, magnetom altea and magnetom sola fit",cordell l fields,cordell l fields,cordell l fields,892.1000,lnh,09/11/2019,02/28/2020,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192496.pdf,traditional,no,no
43,K211458,"staple, implantable",k211458,"disposable anorectal staplers, disposable intraluminal staplers, disposable linear cutting staplers, disposable endoscopic cutting staplers",pengfei  hong,pengfei  hong,diana  hong,878.4750,gdw,05/11/2021,12/30/2021,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211458.pdf,traditional,no,no
44,K211775,"tampon, menstrual, unscented",k211775,cohitech organic cotton non-applicator cottonlock tampons,míriam  carrero,míriam  carrero,míriam  carrero,884.5470,heb,06/09/2021,10/22/2021,substantially equivalent     (sese),obstetrics/gynecology,obstetrics/gynecology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211775.pdf,traditional,no,no
45,K223381,"camera, ophthalmic, ac-powered",k223381,iexaminer system with panoptic plus,jeffrey e. thompson,jeffrey e. thompson,jeffrey e. thompson,886.1120,hki,11/07/2022,03/15/2023,substantially equivalent     (sese),ophthalmic,ophthalmic,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k223381.pdf,traditional,no,no
46,K222362,thoracolumbosacral pedicle screw system,k222362,salvo® spine system,ronald k smith,ronald k smith,ronald k smith,888.3070,nkb,08/04/2022,08/29/2022,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222362.pdf,special,no,no
47,K221895,"console, heart-lung machine, cardiopulmonary bypass",k221895,terumo advanced perfusion system 1,eileen  dorsey,eileen  dorsey,eileen  dorsey,870.4220,dtq,06/30/2022,04/18/2023,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221895.pdf,traditional,no,no
48,K202820,"intervertebral fusion device with bone graft, lumbar",k202820,australis anterior lumbar cage system,emma may young,emma may young,nathan  wright,888.3080,max,09/24/2020,12/22/2020,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202820.pdf,traditional,no,no
49,K180068,submucosal injection agent,k180068,orise gel,thomas  hirte,thomas  hirte,jennifer  edouard,876.1500,pll,01/09/2018,09/28/2018,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k180068.pdf,traditional,no,no
50,K201442,"gas chromatography, methamphetamine",k201442,"lin-zhi international, inc. (lzi) methamphetamine enzyme immunoassay for pictus analyzers",frank  matuszak,frank  matuszak,erika  ammirati,862.3610,laf,06/01/2020,07/31/2020,substantially equivalent     (sese),toxicology,toxicology,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k201442.pdf,traditional,no,no
51,K220381,powered laser surgical instrument,k220381,diode laser therapy systems,zeng  xun,zeng  xun,ray  wang,878.4810,gex,02/10/2022,05/20/2022,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k220381.pdf,traditional,no,no
52,K191911,orthodontic software,k191911,3shape splint design,shreyosi  chakraborty,shreyosi  chakraborty,shreyosi  chakraborty,872.5470,pnn,07/17/2019,11/27/2019,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k191911.pdf,traditional,no,no
53,K171649,"abutment, implant, dental, endosseous",k171649,straumann cares m-series cad/cam system,andreas  petermann,andreas  petermann,jennifer m. jackson,872.3630,nha,06/05/2017,02/22/2018,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k171649.pdf,traditional,no,no
54,K222116,"radioimmunoassay, thyroid-stimulating hormone",k222116,"atellica® ci analyzer,  atellica® imthyroid stimulating hormone 3-ultra (tsh3-ul), atellica® ch albumin bcp (albp)",joy  anoop,joy  anoop,anoop  joy,862.1690,jlw,07/18/2022,07/13/2023,substantially equivalent     (sese),clinical chemistry,clinical chemistry,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222116.pdf,traditional,no,no
55,K190936,powered laser surgical instrument,k190936,q-switched nd: yag laser system,felix  li,felix  li,claire  zhang,878.4810,gex,04/10/2019,06/17/2019,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190936.pdf,traditional,no,no
56,K221799,"wheelchair, powered",k221799,"electric wheelchair, model: 9000n",chen  yan,chen  yan,iris  fung,890.3860,iti,06/21/2022,09/16/2022,substantially equivalent     (sese),physical medicine,physical medicine,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221799.pdf,traditional,no,no
57,K210441,"stimulator, electrical, non-implantable, for incontinence",k210441,incontinence probe,yongfen  yang,yongfen  yang,yongfen  yang,876.5320,kpi,02/12/2021,09/17/2021,substantially equivalent     (sese),gastroenterology/urology,gastroenterology/urology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210441.pdf,traditional,no,no
58,K192624,standard polysomnograph with electroencephalograph,k192624,apneatrak,james  blevins,james  blevins,james  blevins,882.1400,olv,09/23/2019,02/20/2020,substantially equivalent     (sese),neurology,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192624.pdf,traditional,no,no
59,K181185,"system, image processing, radiological",k181185,change healthcare enterprise viewer,nadia  marchant,nadia  marchant,nadia  marchant,892.2050,llz,05/03/2018,08/29/2018,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181185.pdf,traditional,no,no
60,K210731,"plate, bone",k210731,kls martin individual patient solutions,jennifer  damato,jennifer  damato,pam  martin,872.4760,jey,03/11/2021,07/18/2022,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210731.pdf,traditional,no,no
61,K193386,"system, measurement, blood-pressure, non-invasive",k193386,wrist electronic sphygmomanometer,steve  li,steve  li,cassie  lee,870.1130,dxn,12/06/2019,01/27/2021,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k193386.pdf,traditional,no,no
62,K173389,"pump, portable, aspiration (manual or powered)",k173389,rex medical aspiration pump,erich  bressler,erich  bressler,susan  goldstein-falk,878.4780,bta,10/30/2017,01/30/2018,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173389.pdf,traditional,no,no
63,K222690,"guide, wire, catheter, neurovasculature",k222690,smartguide deflectable hydrophilic guidewire,guillaume  petit-pierre,guillaume  petit-pierre,robin  stephens,870.1330,mof,09/06/2022,04/24/2023,substantially equivalent     (sese),cardiovascular,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222690.pdf,traditional,no,no
64,K213785,"prosthesis, shoulder, semi-constrained, metal/polymer cemented",k213785,"smr tt hybrid glenoid, smr 3-pegs cemented glenoid",roberto  gabetta,roberto  gabetta,lacey  harbour,888.3660,kws,12/06/2021,05/13/2022,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213785.pdf,special,no,no
65,K173313,"wheelchair, powered",k173313,"supachair powered wheelchair: combi 18, combi 18sp, combi 20, combi 20sp",david  hsieh,david  hsieh,david  hsieh,890.3860,iti,10/19/2017,02/13/2018,substantially equivalent     (sese),physical medicine,physical medicine,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173313.pdf,traditional,no,no
66,K230898,parathyroid autofluorescence imaging device,k230898,fluobeam® lx red,marion  boudet,marion  boudet,rama  hannineh,878.4550,qdg,03/31/2023,07/28/2023,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k230898.pdf,special,no,yes
67,K173841,"catheter, thrombus retriever",k173841,axs catalyst distal access catheter 058 x 115cm; axs catalyst distal access catheter 058 x 132cm; axs catalyst distal access catheter 060 x 132cm,angelica  beckmann,angelica  beckmann,angelica  beckmann,870.1250,nry,12/18/2017,03/18/2018,substantially equivalent     (sese),cardiovascular,neurology,https://www.accessdata.fda.gov/cdrh_docs/pdf17/k173841.pdf,traditional,no,no
68,K222694,temporary carotid catheter for embolic capture,k222694,"empro eps (ep4514c-190, ep6514c-190);nanoparasol eps (pnp4514c-190,pnp6514c-190)",ganesh  balachandar,ganesh  balachandar,sapna  singh,870.1250,nte,09/06/2022,04/27/2023,substantially equivalent     (sese),cardiovascular,cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222694.pdf,traditional,no,no
69,K190453,"material, tooth shade, resin",k190453,viscalor bulk,th.  plaumann,th.  plaumann,t.  gerkensmeier,872.3690,ebf,02/25/2019,04/11/2019,substantially equivalent     (sese),dental,dental,,special,no,no
70,K211979,powered laser surgical instrument,k211979,lumenis y&r laser system,karen  smith,karen  smith,kathy  maynor,878.4810,gex,06/25/2021,06/21/2022,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211979.pdf,traditional,no,no
71,K190810,"pump, breast, powered",k190810,"opera, opera eco",sang-hyun  hong,sang-hyun  hong,sang-hyun  hong,884.5160,hgx,03/29/2019,08/30/2019,substantially equivalent     (sese),obstetrics/gynecology,obstetrics/gynecology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190810.pdf,traditional,no,no
72,K231577,"system, x-ray, mobile",k231577,mobilett impact,camila  rodriguez valentin,camila  rodriguez valentin,camila  rodriguez valentin,892.1720,izl,05/31/2023,07/25/2023,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k231577.pdf,traditional,no,no
73,K191112,"densitometer, bone",k191112,gehc dxa bone densitometers with encore version 18,martha  kamrow,martha  kamrow,martha  kamrow,892.1170,kgi,04/26/2019,09/19/2019,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k191112.pdf,traditional,no,no
74,K192843,"kit, test, pregnancy, hcg, over the counter",k192843,"innovita hcg pregnancy rapid test strip, innovita hcg pregnancy rapid test cassette, innovita hcg pregnancy rapid test midstream",leo  lee,leo  lee,fiona  wang,862.1155,lcx,10/03/2019,11/22/2019,substantially equivalent     (sese),clinical chemistry,clinical chemistry,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k192843.pdf,traditional,no,no
75,K221744,"suture, absorbable, synthetic, polyglycolic acid",k221744,stratafix™ spiral monocryl™ plus knotless tissue control device,jenny  wang,jenny  wang,jenny  wang,878.4493,gam,06/16/2022,11/15/2022,substantially equivalent     (sese),general & plastic surgery,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k221744.pdf,traditional,no,yes
76,K190528,wound dressing with animal-derived material(s),k190528,marigen wound extra,gudmundur fertram sigurjonsson,gudmundur fertram sigurjonsson,gudmundur fertram sigurjonsson,,kgn,03/04/2019,07/10/2019,substantially equivalent     (sese),,general & plastic surgery,https://www.accessdata.fda.gov/cdrh_docs/pdf19/k190528.pdf,traditional,no,no
77,K202756,"lenses, soft contact, daily wear",k202756,"clariti 1 day (somofilcon a), clariti 1 day toric (somofilcon a), clariti 1 day multifocal (somofilcon a), clariti 1 day multifocal toric (somofilcon a)",marie  dutton,marie  dutton,marie  dutton,886.5925,lpl,09/21/2020,10/20/2020,substantially equivalent     (sese),ophthalmic,ophthalmic,https://www.accessdata.fda.gov/cdrh_docs/pdf20/k202756.pdf,special,no,no
78,K181348,instruments designed for press-fit osteochondral implants,k181348,cartiva sci disposable instrumentation set,tanya  eberle,tanya  eberle,tanya  eberle,888.4505,qbo,05/21/2018,06/20/2018,substantially equivalent     (sese),orthopedic,orthopedic,https://www.accessdata.fda.gov/cdrh_docs/pdf18/k181348.pdf,special,no,no
79,K231428,"vehicle, motorized 3-wheeled",k231428,mobility scooter (models: w3431d),grace  li,grace  li,jarvis  wu,890.3800,ini,05/17/2023,07/14/2023,substantially equivalent     (sese),physical medicine,physical medicine,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k231428.pdf,traditional,no,no
80,K230959,"needle, hypodermic, single lumen",k230959,vitreject® needle; ocusafe® needle,leonid  lerner,leonid  lerner,heidi  busz,880.5570,fmi,04/04/2023,09/14/2023,substantially equivalent     (sese),general hospital,general hospital,https://www.accessdata.fda.gov/cdrh_docs/pdf23/k230959.pdf,traditional,no,no
81,K210421,"material, tooth shade, resin",k210421,diafil & diafil capsule,kab sun lee,kab sun lee,kab sun lee,872.3690,ebf,02/11/2021,06/28/2021,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k210421.pdf,special,no,no
82,K203512,polymer patient examination glove,k203512,powder free blue nitrile examination glove,terence  lim,terence  lim,terence  lim,880.6250,lza,11/30/2020,04/26/2021,substantially equivalent     (sese),general hospital,general hospital,,traditional,no,no
83,K211233,nebulizer (direct patient interface),k211233,hailie sensor nf0109,chris  mander,chris  mander,chris  mander,868.5630,caf,04/23/2021,08/18/2021,substantially equivalent     (sese),anesthesiology,anesthesiology,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k211233.pdf,traditional,no,no
84,K222145,"system, image processing, radiological",k222145,ezdent-i / e2 / prora view/ smart m viewer,young seok kim,young seok kim,priscilla  chung,892.2050,llz,07/20/2022,08/12/2022,substantially equivalent     (sese),radiology,radiology,https://www.accessdata.fda.gov/cdrh_docs/pdf22/k222145.pdf,traditional,no,no
85,K213677,"implant, endosseous, root-form",k213677,bonafix 2 plus,michael  vinnik,michael  vinnik,juan  tezak,872.3640,dze,11/22/2021,12/20/2022,substantially equivalent     (sese),dental,dental,https://www.accessdata.fda.gov/cdrh_docs/pdf21/k213677.pdf,traditional,no,no
