,query_id,device,generic_name,applicant,pma_number,date_received,decision_date,product_code,docket_number,notice_date,advisory_committee,expedited_review_granted,combination_product,approval_order,summary,labeling,supplements,recalls
10,P060006,boston scientific express sd renal monorail premounted stent system,"stent, renal","boston scientific corp.one scimed placemaple grove, mn 55311-1566",p060006,02/21/2006,12/11/2008,nin,08m-0646,12/19/2008,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf6/p060006b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s043 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s082 s083 s084 s085 s086 s087 s088 s089 s090 s091 s092 s093 s094 s095 s096 s097 s098 s099 s100 s101 s102 s103 s104 s105 s106 s107 s108,
11,P130006,gore viabahn endoprosthesis and endoprosthesis with heparin bioactive surface,"system, endovascular graft, arteriovenous (av) dialysis access circuit stenosis treatment","w.l. gore & associates,inc3250 w.kiltie laneflagstaff, az 86001",p130006,04/01/2013,12/05/2013,pfv,13m-1605,12/24/2013,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf13/p130006b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s082 s083 s084 s085 s086 s087 s088 s089 s090 s091 s092 s093 s094 s095 s096 s097 s098 s099 s100 s101,
12,P010013,novasure impedance controlled endometrial ablation system,"device, thermal ablation, endometrial","hologic, inc.250 campus drivemarlborough, ma 01752",p010013,02/28/2001,09/28/2001,mnb,02m-0128,03/28/2002,obstetrics/gynecology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p010013b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s014 s015 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s039 s041 s042 s043 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s075 s077 s078 s079 s080 s081 s082 s083 s084 s085 s086 s087 s088 s089 s090 s091,cdrh recalls
13,P160028,philips heartstart fr3 defibrillator,automated external defibrillators (non-wearable),"philips medical systems, inc.22100 bothell-everett highwaybothell, wa 98021",p160028,07/29/2016,05/11/2020,mkj,20m-1367,05/08/2020,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf16/p160028b.pdf,labeling,s001 s002 s003 s004,cdrh recalls
14,P010052,immulite 2000 xpi anti-hbs,"test, hepatitis b (b core, be antigen, be antibody, b core igm)","siemens healthcare diagnostics products, ltdglyn rhonwyllanberis, caernarfon ll55",p010052,08/31/2001,07/22/2002,lom,03m-0287,06/24/2003,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p010052b.pdf,labeling,s001 s003 s004 s005 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016,
15,P990025,navi-star diagnostic/ablation deflectable tip catheter,"catheter, electrode recording, or probe, electrode recording","biosense webster, inc.31 technology drivesuite 200irvine, ca 92618",p990025,05/24/1999,06/15/2000,drf,00m-1388,07/11/2000,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p990025b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071,
16,P100001,vitros immunodiagnostic products anti-hbe reagent pack/anti-hbe calibrator/anti hbe controls,"test, hepatitis b (b core, be antigen, be antibody, b core igm)","ortho-clinical diagnostics100 indigo creek dr.rochester, ny 14626-5101",p100001,01/29/2010,07/20/2011,lom,11m-0563,08/01/2011,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf10/p100001b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017,cdrh recalls
17,P130016,nucleus hybrid l24 cochlear implant system,cochlear implant with combined electrical stimulation and acoustic amplification,"cochlear americas10350 park meadows drivecentennial, co 80124",p130016,06/03/2013,03/20/2014,pgq,14m-0327,04/10/2014,ear nose & throat,yes,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf13/p130016b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s053 s054,
18,P010019,focus night and day (lotrafilcon a) soft contact lenses,"lenses, soft contact, extended wear","alcon laboratories, inc.6201 south freewayfort worth, tx 76134-2099",p010019,03/21/2001,10/11/2001,lpm,01m-0479,10/19/2001,ophthalmic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p010019b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s013 s014 s015 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s083,cdrh recalls
19,P140011,mammomat inspiration with tomosynthesis option,digital breast tomosynthesis,"siemens medical solutions usa, inc.51 valley stream pkwy.malvern, pa 19355-1406",p140011,06/26/2014,04/21/2015,ote,15m-1460,05/18/2015,radiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf14/p140011b.pdf,labeling,s001 s002 s003 s005 s006 s007,cdrh recalls
20,P990042,diasorin eti-ab-auk plus assay,,"diasorin, inc.1951 northwestern ave.stillwater, mn 55082-0285",p990042,07/02/1999,03/30/2001,,01m-0453,10/09/2001,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p990042b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s013 s014 s015 s016 s017 s018 s019 s020 s021 s023 s024 s025 s026 s027 s028,cdrh recalls
21,P170008,elunir™ ridaforolimus eluting coronary stent system,coronary drug-eluting stent,"medinol, ltd.kiryat atidim, bldg. 8pob 58165tel aviv 61581",p170008,03/13/2017,11/28/2017,niq,17m-6650,12/15/2017,cardiovascular,no,yes,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf17/p170008b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s010 s011 s012 s013 s015 s016 s018 s019 s020 s021 s022 s024 s025 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045,
22,P840062,collacote(tm),"material, dressing, surgical, polylactic acid","integra lifesciences corp.311 enterprise dr.plainsboro, nj 08536",p840062,11/23/1984,11/08/1985,lpg,85m-0556,01/02/1986,dental,no,no,,,,s001 s002 s003 s004 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s042 s043 s044 s045 s046 s047 s048 s049 s052 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s082 s083 s084 s085 s086 s087 s088 s089 s090,cdrh recalls
23,P160032,"lifeline/reviver ddu-100, lifeline/reviver auto ddu-120, lifeline/reviver view ddu-2300, lifeline/reviver view auto ddu-",automated external defibrillators (non-wearable),"defibtech, llc741 boston post roadsuite 201guilford, ct 06437",p160032,08/02/2016,02/01/2018,mkj,18m-0528,05/14/2018,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf16/p160032b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010,
24,P010030,wearable cardioverter defibrillator (wcd) 2000 lifevest,wearable automated external defibrillator,"zoll manufacturing corporation121 gamma drpittsburgh, pa 15238-0000",p010030,05/04/2001,12/18/2001,mvk,02m-0145,04/12/2002,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p010030b.pdf,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s083 s084 s085 s086 s087 s088 s089 s090 s091 s092 s095 s097 s098 s099 s100 s101 s102 s103 s104 s105 s106 s107 s108 s110 s111 s112 s113 s114 s115 s116 s117 s118 s119 s120 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s135 s137 s138 s139 s140 s141 s142 s143 s144 s145 s146 s147 s148 s149 s150 s151 s152 s153 s154 s155 s156 s157 s158 s159 s160 s161 s162 s163 s164 s165 s166 s167 s169,cdrh recalls
25,P160057,trivisc,"acid, hyaluronic, intraarticular","orthogenrx,inc3805 old easton roaddoylestown, pa 18902-8400",p160057,12/23/2016,11/13/2017,moz,17m-6525,11/21/2017,orthopedic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf16/p160057b.pdf,labelinglabeling part 2,s001 s002,
26,P890003,synergyst  ii pulse generator models 7070 & 7071,"pulse generator, permanent, implantable","medtronic, inc.8200 coral sea street n.e.mounds view, mn 55112",p890003,01/05/1989,08/24/1989,nvz,89m-0369,09/19/1989,cardiovascular,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s027 s028 s029 s030 s031 s032 s033 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s050 s051 s052 s054 s055 s056 s057 s058 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s082 s084 s085 s086 s087 s088 s089 s091 s092 s093 s095 s096 s097 s098 s099 s100 s101 s102 s103 s104 s105 s106 s107 s108 s109 s110 s111 s112 s113 s114 s115 s116 s117 s118 s119 s120 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s136 s137 s138 s139 s140 s141 s142 s143 s144 s145 s146 s148 s150 s151 s152 s153 s154 s155 s156 s158 s159 s160 s161 s162 s163 s164 s165 s166 s167 s168 s169 s171 s172 s173 s174 s175 s176 s177 s178 s179 s180 s181 s182 s183 s184 s185 s186 s187 s188 s189 s190 s191 s192 s193 s194 s195 s196 s197 s198 s200 s203 s204 s205 s206 s207 s208 s209 s210 s211 s212 s214 s215 s216 s217 s218 s219 s220 s221 s223 s224 s225 s226 s228 s229 s230 s231 s232 s233 s234 s235 s236 s237 s238 s239 s240 s241 s242 s243 s245 s246 s247 s248 s249 s250 s251 s252 s253 s254 s255 s256 s257 s258 s259 s260 s261 s262 s263 s264 s265 s266 s267 s268 s269 s271 s272 s273 s275 s276 s277 s278 s279 s280 s281 s282 s283 s284 s285 s286 s287 s288 s289 s290 s291 s292 s293 s294 s295 s296 s297 s298 s299 s300 s301 s302 s303 s304 s305 s306 s307 s308 s309 s310 s311 s312 s313 s314 s315 s316 s317 s318 s319 s320 s321 s322 s323 s324 s325 s326 s327 s328 s329 s330 s331 s333 s334 s336 s337 s338 s339 s340 s341 s342 s343 s344 s345 s346 s347 s348 s350 s351 s352 s353 s354 s355 s356 s357 s358 s359 s360 s361 s362 s363 s364 s365 s366 s367 s368 s369 s370 s371 s372 s373 s374 s375 s376 s377 s378 s379 s380 s381 s382 s383 s384 s385 s386 s387 s388 s389 s390 s391 s392 s393 s394 s395 s396 s397 s398 s399 s400 s401 s402 s403 s405 s406 s407 s408 s409 s410 s411 s412 s413 s414 s415 s416 s417 s418 s419 s420 s421 s422 s423 s424 s425 s426 s427 s428 s429 s430 s431 s432 s433 s434 s435 s436 s437 s438 s439 s440 s441 s442 s443 s444 s445 s446 s447 s448 s450 s451 s452 s453 s454 s455 s456 s457 s458 s459 s460 s461 s462 s463,cdrh recalls
27,P970018,bd prepstain system,"processor, cervical cytology slide, automated","bd diagnostic systems4025 stirrup creek drivesuite 400durham, nc 27703",p970018,05/12/1997,06/17/1999,mkq,99m-2144,07/07/1999,pathology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p970018b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s009 s010 s012 s014 s015 s016 s017 s018 s019 s020 s021 s023 s024 s025 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039,cdrh recalls
28,P100029,st jude medical trifecta valve,"heart-valve, non-allograft tissue","abbott medical177 county road b. eastst. paul, mn 55117",p100029,07/20/2010,04/20/2011,lwr,11m-0296,05/06/2011,cardiovascular,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf10/p100029b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s042 s043 s045 s046 s047 s048 s049,
29,P100042,aptima hpv assay,"kit, rna detection, human papillomavirus","gen-probe incorporated10210 genetic center drivesan diego, ca 92121",p100042,11/05/2010,10/28/2011,oyb,11m-0792,11/04/2011,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf10/p100042b.pdf,labeling,s001 s002 s003 s004 s005 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035,
30,P910023,cadence(r) tiered therapy defibrillation system,implantable cardioverter defibrillator (non-crt),"abbott medical15900 valley view courtsylmar, ca 91335",p910023,04/23/1991,04/30/1993,lws,93m-0216,07/22/1993,cardiovascular,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s071 s072 s073 s075 s076 s077 s078 s079 s080 s081 s083 s084 s085 s086 s087 s088 s089 s090 s091 s092 s093 s094 s095 s097 s098 s099 s100 s101 s102 s103 s104 s107 s108 s109 s110 s111 s112 s113 s114 s115 s116 s117 s118 s120 s121 s122 s123 s124 s125 s126 s127 s128 s129 s130 s131 s132 s133 s134 s135 s136 s137 s138 s139 s140 s141 s142 s143 s144 s145 s146 s150 s151 s152 s153 s154 s155 s156 s157 s158 s159 s160 s161 s162 s163 s164 s165 s166 s167 s168 s169 s170 s171 s172 s173 s174 s175 s176 s177 s178 s179 s180 s181 s182 s183 s184 s185 s186 s187 s188 s189 s190 s191 s192 s193 s194 s195 s196 s197 s198 s199 s200 s201 s202 s203 s204 s205 s206 s207 s208 s210 s211 s212 s213 s214 s215 s216 s217 s218 s219 s220 s221 s222 s223 s224 s225 s226 s227 s228 s229 s230 s231 s232 s233 s234 s235 s236 s237 s238 s239 s240 s241 s242 s243 s244 s245 s246 s247 s248 s249 s250 s251 s252 s253 s254 s255 s256 s257 s258 s260 s261 s262 s263 s264 s265 s266 s267 s268 s269 s270 s271 s272 s273 s274 s275 s276 s277 s278 s279 s280 s281 s282 s285 s287 s288 s289 s290 s291 s293 s294 s295 s296 s297 s298 s299 s300 s302 s303 s304 s306 s307 s309 s310 s311 s312 s313 s314 s315 s316 s318 s319 s320 s321 s322 s323 s324 s325 s327 s328 s329 s330 s331 s332 s333 s334 s335 s336 s337 s338 s339 s340 s341 s342 s343 s344 s345 s346 s347 s348 s349 s351 s352 s353 s354 s355 s356 s357 s358 s359 s360 s361 s362 s363 s364 s365 s366 s367 s369 s370 s371 s372 s373 s374 s375 s376 s377 s378 s379 s380 s381 s382 s383 s384 s385 s386 s387 s388 s389 s390 s391 s392 s393 s394 s395 s396 s397 s398 s399 s400 s401 s402 s403 s404 s405 s406 s407 s408 s409 s410 s411 s412 s413 s414 s415 s416 s417 s418 s419 s420 s421 s422 s423 s424 s425 s426 s427 s428 s429 s430 s431 s432 s433 s434 s435 s436 s437 s438 s439 s440 s441 s442 s443 s444 s445 s446 s447 s448 s449 s450 s451 s452 s453 s454 s456,cdrh recalls
31,P230002,minitouch 3.8 era system (minitouch system),"device, thermal ablation, endometrial","microcube, llc47853 warm springs boulevardfremont, ca 94539",p230002,01/30/2023,07/28/2023,mnb,23m-3222,08/04/2023,obstetrics/gynecology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf23/p230002b.pdf,labelinglabeling part 2,,
32,P130028,algovita spinal cord stimulation system,"stimulator, spinal-cord, totally implanted for pain relief","nuvectra corporation10675 naples street neblaine, mn 55449",p130028,12/16/2013,11/20/2015,lgw,15m-4434,11/30/2015,neurology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf13/p130028b.pdf,labelinglabeling part 2,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031,cdrh recalls
33,P950039,"thinprep(r) processor, model tp 2000","processor, cervical cytology slide, automated","hologic, inc.250 campus drivemarlborough, ma 01752",p950039,11/22/1995,05/20/1996,mkq,97m-0254,06/30/1997,pathology,no,no,,,,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s020 s021 s024 s026 s027 s028 s029 s030 s031 s032 s034 s035 s036 s037 s038 s039 s040,
34,P130019,maestro rechargeable system,neuromodulator for obesity,"reshape lifesciences, inc.2800 patton roadsaint paul, mn 55113",p130019,06/21/2013,01/14/2015,pim,15m-0201,01/16/2015,gastroenterology/urology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf13/p130019b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019,
35,P120012,"abbott realtime hcv genotype ii, abbott realtime hcv genotype ii control kit, uracil-n-glycosylase (ung)","assay, genotyping, hepatitis c virus","abbott molecular1300 east touhy avenuedes plaines, il 60018",p120012,07/12/2012,06/20/2013,obf,13m-0758,06/24/2013,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf12/p120012b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s009 s010 s011 s012 s013 s014 s015 s016 s017 s018 s019,
36,P200013,alinity m hbv,hepatitis viral b dna detection,"abbott molecular, inc.1300 e touhy avedes plaines, il 60018",p200013,03/02/2020,08/29/2020,mkt,20m-1830,09/30/2020,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf20/p200013b.pdf,labeling,s001 s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012 s013 s014 s015 s017,cdrh recalls
37,P190022,4kscore test,multi-analyte test system with algorithmic analysis for detection of prostate cancer,"opko health, inc.4400 biscayne boulevardmiami, fl 33137",p190022,09/06/2019,12/07/2021,qrf,21m-1271,12/15/2021,immunology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf19/p190022b.pdf,labeling,,cdrh recalls
38,P050037,radiesse 1.3cc and 0.3cc,"implant, dermal, for aesthetic use","merz north america, inc4133 courtney roadsuite 10franksville, wi 53126",p050037,09/29/2005,12/22/2006,lmh,07m-0006,01/17/2007,general & plastic surgery,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf5/p050037b.pdf,labeling,s001 s002 s003 s004 s005 s006 s008 s009 s011 s012 s013 s014 s015 s016 s017 s018 s019 s020 s021 s022 s023 s024 s025 s026 s027 s028 s029 s030 s031 s032 s033 s034 s035 s036 s037 s038 s039 s040 s041 s042 s043 s044 s045 s046 s047 s048 s049 s050 s051 s052 s053 s054 s055 s056 s057 s058 s059 s060 s061 s062 s063 s064 s065 s066 s067 s068 s069 s070 s071 s072 s073 s074 s075 s076 s077 s078 s079 s080 s081 s082 s083 s084 s086 s088 s089 s090 s092 s093 s094 s095 s096 s097 s098 s099 s100 s101 s102 s103 s104 s106 s107 s108 s109 s110 s111 s112 s113 s114 s115 s116 s117 s118 s119 s120 s121 s123 s124 s126 s127 s128 s130 s131 s132,cdrh recalls
39,P180048,"liaison® xl murex hbeag, liaison® xl murex control hbeag","test, hepatitis b (b core, be antigen, be antibody, b core igm)","diasorin inc.1951 northwestern avenuestillwater, mn 55082",p180048,12/14/2018,08/29/2020,lom,20m-1783,09/01/2020,microbiology,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf18/p180048b.pdf,labeling,s002 s003 s004 s005 s006 s007 s008 s009 s010 s011 s012,
40,P990010,visx excimer laser system model c star,excimer laser system,"amo manufacturing usa, llc510 cottonwood drivemilpitas, ca 95035",p990010,02/23/1999,11/19/1999,lzs,00m-1447,08/18/2000,ophthalmic,no,no,approval order,https://www.accessdata.fda.gov/cdrh_docs/pdf/p990010b.pdf,labeling,s001 s004 s006 s007 s008,
