query_id,product_code,device_class,medical_specialty,third_party_review,gmp_exempt_flag,implant_flag,life_sustain_flag,target_area,technical_method,physical_state,definition
K192901,qfm,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.This type of device establishes effective triage within a specialists queue based on high sensitivity and specificity >95% AUC.,The device is software only.,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
K212516,qdb,2,CV,N,N,N,N,Software.,Analyzes photoplethysmograph data and provides detection information.,Software.,A photoplethysmograph analysis software device for over-the-counter use analyzes photoplethysmograph data and provides information for identifying irregular heart rhythms. This device is not intended to provide a diagnosis.
K221727,jak,2,RA,Y,N,N,N,,,,
K223623,llz,2,RA,Y,N,N,N,,,,
K230112,jak,2,RA,Y,N,N,N,,,,
K221868,qfm,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.This type of device establishes effective triage within a specialists queue based on high sensitivity and specificity >95% AUC.,The device is software only.,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
K200621,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K201411,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K180161,llz,2,RA,Y,N,N,N,,,,
K211156,llz,2,RA,Y,N,N,N,,,,
K223288,haw,2,NE,N,N,N,N,,,,
K202229,llz,2,RA,Y,N,N,N,,,,
K203502,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K191171,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K212333,iyn,2,RA,Y,N,N,N,,,,
K221393,lnh,2,RA,Y,N,N,N,,,,
K212012,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K230812,dps,2,CV,Y,N,N,N,,,,
K201444,muj,2,RA,N,N,N,N,,,,
K223424,jak,2,RA,Y,N,N,N,,,,
K211059,llz,2,RA,Y,N,N,N,,,,
K193087,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K222676,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K180343,pov,2,HE,Y,N,N,N,Human semen,The device may use one or more forms of technology including optical  mechanical  digital imaging  computer algorithms  chromatographic immunoassay and may be manual  automated  or semi-automated.,Semen analysis devices may be found in a range of shapes and sizes with various distinguishing features.,Device used to evaluate one or more human semen parameters including semen volume  sperm concentration  total sperm number  sperm motility  sperm morphology  sperm vitality  white blood cell concentration  and pH.
K203182,llz,2,RA,Y,N,N,N,,,,
K183648,ppu,2,MI,Y,N,N,N,Not applicable,Analysis and interpretation of digital images of microbial cultures on solid media.,Solid microbiological culture media are required to conduct the assessment.,A microbial colony image assessment system is an instrument that is intended to assess the presence or absence of microbial colonies on solid microbiological culture medium  and to interpret their number  phenotypic and morphologic characteristics. This device type provides a semi-quantitative assessment of colony counts that are used as an aid in the diagnosis of urinary tract infection. All urine culture plates that are identified as positive for growth by the APAS Compact  when using its urine analysis module  must be reviewed by a trained microbiologist.
K180539,osn,2,OR,N,N,Y,N,Musculoskeletal system,Software operated by the manufacturer or end user intended to diagnose or treat an orthopedic condition,Custom written or off the shelf software intended to be used with an orthopedic trauma device,Software associated with an orthopedic trauma device which is intended for the diagnosis or treatment of traumatic or reconstructive orthopedic conditions
K212067,jak,2,RA,Y,N,N,N,,,,
K221772,gyd,2,NE,Y,N,N,N,,,,
K180651,jaa,2,RA,Y,N,N,N,,,,
K223357,pib,2,OP,N,N,N,N,Fundus images of the macula and optic nerve of the eye.,Software as a medical device designed to analyze digital fundus images taken with an ophthalmic camera. Using artificial intelligence algorithms  the device is able to determine whether a patient has referable retinopathy.,Installed on  and operated by  an off-the-shelf hardware system with an appropriate OS.,A retinal diagnostic software device is a prescription software device that incorporates an adaptive algorithm to evaluate ophthalmic images for diagnostic screening to identify retinal diseases or conditions.
K193290,llz,2,RA,Y,N,N,N,,,,
K230337,qpf,2,NE,N,N,N,N,The device is intended to aid in the diagnosis of Autism Spectrum Disorder.,Performs an analysis of patient behavioral data to aid in the diagnosis of Autism Spectrum Disorder.,The device collects data based on the clinical presentation of a patient.  An analysis algorithm is applied to the collected data.  The device may be stand-alone or implemented as a software application on a smartphone or other general purpose computing platform.,A pediatric Autism Spectrum Disorder diagnosis aid is a prescription device that is intended for use as an aid in the diagnosis of Autism Spectrum Disorder in pediatric patients.
K183046,jak,2,RA,Y,N,N,N,,,,
K221179,olz,2,NE,N,N,N,N,Brain,Uses software algorithms to analyze electroencephalograph and polysomnograph waveforms and automatically identify areas of interest to the user,Electroencephalograph analysis software.  Does NOT include electrodes  electroencephalograph hardware  polysomnograph hardware  or basic electroencephalograph/polysomnograph software (e.g. used to display  store  archive  or manually annotate data).,Automatically mark electroencephalograph and polysomongraph signals in order to aid in identification of such events and annotation of prolonged PSG traces; Automatically calculate simple measures obtained from recorded signals (e.G. Magnitude  time  frequency and simple statistical measures of marked events); All output subject to verification by qualified user
K202501,llz,2,RA,Y,N,N,N,,,,
K210999,llz,2,RA,Y,N,N,N,,,,
K220813,qkb,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices  the algorithm training images typically impact device performance. Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide semi-automatic or fully-automated radiological image processing and analysis tools for radiation therapy. Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices  the algorithm training images  typically impact device performance. AI based radiological image processing software  is intended to be used in the workflow of radiation therapy.  Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code.
K223347,qju,2,RA,N,N,N,N,Human body,The device's algorithm would be based on the analysis of images and/or diagnostic data.  The underlying algorithms used for providing guidance to the users may be based on deep learning methods  trained on images obtained by trained operators.,The subject software would utilize images acquired using an imaging system.  The software can be installed on an existing imaging system  or can be operated on a computer that is connected to the imaging system.,A radiological acquisition and/or optimization guidance system is a device that is intended to aid in the acquisition and/or optimization of images and/or diagnostic signals. The device interfaces with the acquisition system  analyzes its output  and provides guidance and/or feedback to the operator for improving image and/or signal quality.
K220940,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K213737,llz,2,RA,Y,N,N,N,,,,
K210760,jak,2,RA,Y,N,N,N,,,,
K221592,oeb,2,RA,N,N,N,N,Lung,Detection algorithm searches for and identifies potential nodules on images of the chest acquired using multi-slice computed tomography (msct).,Software device.,To assist radiologists in the review of multi-slice computed tomography (msct) exams of the chest and highlight potential nodules that the radiologist should review.  A computer aided diagnosis  lung computed tomography system is a class 3 device under product code NRR.
K201020,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K221624,pok,2,RA,N,N,N,N,Lesions,The device characterizes lesions based on features or information extracted from the images and provides information about the lesion(s) to the user.,Software,Assist users in characterizing lesions identified on acquired medical images
K220439,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K210438,iyn,2,RA,Y,N,N,N,,,,
K210666,myn,2,RA,N,N,N,N,,,,For information on the MYN device  please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers
K213583,lnh,2,RA,Y,N,N,N,,,,
K193289,jak,2,RA,Y,N,N,N,,,,
K192383,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K222361,jak,2,RA,Y,N,N,N,,,,
K210791,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K183182,qfm,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.This type of device establishes effective triage within a specialists queue based on high sensitivity and specificity >95% AUC.,The device is software only.,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
K192167,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K230913,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K221369,obr,U,,N,N,N,N,Oral Cavity,The dental mouthguard is a removable appliance that is fitted to the teeth by taking an immpression of the teeth or using a thermoplastic resin,It is a material similar to a hard methylmethacrylate or a softer thermoplastic resin.,To protect the teeth and reduce damage caused by bruxing or nighttime grinding and prevention of the noise associated with bruxing and grinding.
K190424,qas,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.,The device is software only.,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
K180779,cbk,2,AN,N,N,N,Y,,,,
K222836,nha,2,DE,N,N,Y,N,,,,To be used in conjunction with an endosseous dental implant fixture to aid in prosthetic rehabilitation.
K223593,gcj,2,GU,N,N,N,N,,,,Validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission if the device is reusable and has specific design features (please refer to Table 2 of 82 FR 26807  available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).
K202284,muj,2,RA,N,N,N,N,,,,
K231143,qnp,2,GU,N,N,N,N,Gastrointestinal tract,The device is a software that uses artificial intelligence/machine learning (AI/ML) advanced algorithms to aid in detection colonic mucosal lesions via endoscopy in real-time.,The device is a software  which may contain hardware components for enabling compatibility with endoscopic devices.,A gastrointestinal lesion software detection system is a computer-assisted detection device used in conjunction with endoscopy for the detection of abnormal lesions in the gastrointestinal tract. This device with advanced software algorithms brings attention to images to aid in the detection of lesions. The device may contain hardware to support interfacing with an endoscope.
K192962,llz,2,RA,Y,N,N,N,,,,
K222755,lnh,2,RA,Y,N,N,N,,,,
K223659,llz,2,RA,Y,N,N,N,,,,
K213999,jak,2,RA,Y,N,N,N,,,,
K223830,iyn,2,RA,Y,N,N,N,,,,
K220590,llz,2,RA,Y,N,N,N,,,,
K203696,llz,2,RA,Y,N,N,N,,,,
K221147,iyn,2,RA,Y,N,N,N,,,,
K200899,llz,2,RA,Y,N,N,N,,,,
K230074,qfm,2,RA,N,N,N,N,The device operates on radiological images of the human body.,The device provides triage or notification that is informed by machine learning  artificial intelligence or other image analysis algorithms.This type of device establishes effective triage within a specialists queue based on high sensitivity and specificity >95% AUC.,The device is software only.,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
K230223,jak,2,RA,Y,N,N,N,,,,
K201005,qkq,2,PA,N,N,N,N,Scanned digital images of surgical pathology slides prepared from formalin-fixed paraffin embedded (FFPE) human-derived tissue,Digital Pathology Image Viewing and Management Software device is a software-only device that runs under a specified operating system for displaying and manipulating digital pathology images of scanned glass slides obtained from an FDA approved or cleared whole slide image (WSI) scanner. These images are viewed and manipulated by end users which are displayed and viewed on an FDA approved or cleared computer display. Image analysis software including Artificial Intelligence (AI) or Machine Learning (ML) based image analysis software are not within the scope of this product code.,Software application and/or firmware  system components and accessories,Digital pathology image viewing and management software device is a software intended for viewing and management of digital images of scanned surgical pathology slides prepared from formalin-fixed paraffin embedded (FFPE) tissue. It is an aid to the pathologist to review and interpret these digital images for the purposes of primary diagnosis.
K213794,dqd,2,CV,Y,N,N,N,,,,
K211326,qnp,2,GU,N,N,N,N,Gastrointestinal tract,The device is a software that uses artificial intelligence/machine learning (AI/ML) advanced algorithms to aid in detection colonic mucosal lesions via endoscopy in real-time.,The device is a software  which may contain hardware components for enabling compatibility with endoscopic devices.,A gastrointestinal lesion software detection system is a computer-assisted detection device used in conjunction with endoscopy for the detection of abnormal lesions in the gastrointestinal tract. This device with advanced software algorithms brings attention to images to aid in the detection of lesions. The device may contain hardware to support interfacing with an endoscope.
K201232,llz,2,RA,Y,N,N,N,,,,
K202013,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K223523,lnh,2,RA,Y,N,N,N,,,,
K210011,mqc,U,,N,N,N,N,,,,
K220961,jak,2,RA,Y,N,N,N,,,,
K212616,pok,2,RA,N,N,N,N,Lesions,The device characterizes lesions based on features or information extracted from the images and provides information about the lesion(s) to the user.,Software,Assist users in characterizing lesions identified on acquired medical images
K232526,jaa,2,RA,Y,N,N,N,,,,
K191194,qer,2,OP,Y,N,N,N,Eye and ocular tissues (anterior and posterior segment).,The imaging plane is scanned by a rectangular slit of non-coherent light and reflected images of the illuminated areas are sequentially captured by an imaging sensor. An ophthalmic image is reconstructed from individual slit images in software.,Slit-scanning cameras consist of an incoherent light source  image forming lens  slit forming optics  scanner  an image sensor  and image reconstruction software.,An ophthalmic slit-scanning camera is an AC-powered device intended to take photographs of the eye and the surrounding area.
K203744,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
K220905,olo,2,NE,N,N,N,N,Orthopedic joints and spinal procedures where tracking of instrumentation is desired.,User loads Computer software pre-Op to plan surgery procedure  then registers the patient anatomy during surgery to allow software to track patient anatomy  implants  and surgical tools in real time/space.,Device consists of Camera  computer  various shaped tracking arrays  computer interface for commmunication between user and device.,Stereotaxic guidance during orthopedic surgery procedures.  Indicated for Orthopedic joint or spine surgery. Neurological stereotaxic instruments are classified under product code HAW.
K220815,qih,2,RA,N,N,N,N,Human-derived imaging products,Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.,Software application and/or firmware  system components and accessories,To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices  the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code.
